dataset;baseline;FAA;LA;TTSGAN;Diffusion;VaDE;ASCENSION;ResNetemb;ImagenTime;Diffusion-TS;KoVAE
MoteStrain;0.8809904153354633;0.8809904153354633;0.8793929712460063;0.889776357827476;0.5276243093922652;0.8722044728434505;0.9049520766773164;0.8921725239616614;0.854632587859425;0.8766653323413993;0.6613418530351438
NonInvasiveFetalECGThorax1;0.8229007633587786;0.6239185750636133;0.7969465648854962;0.8463104325699745;0.3508287292817679;0.5847328244274809;0.9155216284987278;0.9145038167938933;0.8106870229007633;0.7157411243739034;0.0763358778625954
NonInvasiveFetalECGThorax2;0.8687022900763359;0.4615776081424936;0.805089058524173;0.9201017811704836;0.482;0.6987277353689567;0.8402035623409669;0.8651399491094147;0.850381679389313;0.7909233127984089;0.0646310432569974
OSULeaf;0.7768595041322314;0.6983471074380165;0.6735537190082644;0.7231404958677686;0.6681318681318681;0.7272727272727273;0.743801652892562;0.8140495867768595;0.6900826446280992;0.6464448749720094;0.2024793388429752
OliveOil;0.8;0.4;0.7666666666666667;0.8333333333333334;0.940828402366864;0.8666666666666667;0.8;0.8333333333333334;0.8;0.8075681797619566;0.4
PhalangesOutlinesCorrect;0.8065268065268065;0.8111888111888111;0.8205128205128205;0.8368298368298368;0.9022727272727272;0.8391608391608392;0.8298368298368298;0.8298368298368298;0.8321678321678322;0.8283877626478845;0.3869463869463869
Plane;1.0;1.0;1.0;1.0;0.9856140350877192;1.0;1.0;1.0;1.0;1.0;0.3142857142857143
PowerCons;0.9333333333333332;0.9055555555555556;0.9166666666666666;0.95;0.8428070175438597;0.9444444444444444;0.95;0.9555555555555556;0.9388888888888888;0.9491061402695408;0.5222222222222223
ProximalPhalanxOutlineAgeGroup;0.8634146341463415;0.8439024390243902;0.8634146341463415;0.8780487804878049;0.1397849462365591;0.8780487804878049;0.8780487804878049;0.8975609756097561;0.8731707317073171;0.8740973510292531;0.5365853658536586
ProximalPhalanxOutlineCorrect;0.8797250859106529;0.8694158075601375;0.8762886597938144;0.9003436426116839;0.7076923076923077;0.9140893470790378;0.8969072164948454;0.9175257731958762;0.9037800687285223;0.9008631041694524;0.6838487972508591
ProximalPhalanxTW;0.8390243902439024;0.7951219512195122;0.8195121951219512;0.8292682926829268;0.3076923076923077;0.8292682926829268;0.824390243902439;0.8390243902439024;0.8341463414634146;0.839727438096215;0.1951219512195122
RefrigerationDevices;0.584;0.5386666666666666;0.576;0.5813333333333334;0.5076923076923077;0.5733333333333334;0.5733333333333334;0.6026666666666667;0.5973333333333334;0.5918373233553882;0.4906666666666666
Rock;0.5;0.4;0.44;0.42;0.5;0.5;0.6;0.64;0.4;0.5089343594430881;0.18
ScreenType;0.5146666666666667;0.568;0.504;0.4986666666666666;0.3924050632911392;0.512;0.512;0.5493333333333333;0.5066666666666667;0.5047983641784048;0.4373333333333333
SemgHandGenderCh2;0.7216666666666667;0.7633333333333333;0.725;0.65;0.9133333333333332;0.735;0.7533333333333333;0.7516666666666667;0.7316666666666667;0.6883392301307194;0.7283333333333334
SemgHandMovementCh2;0.3933333333333333;0.4866666666666667;0.4155555555555555;0.3577777777777777;0.8670886075949367;0.36;0.42;0.42;0.4111111111111111;0.4068065598394347;0.1933333333333333
SemgHandSubjectCh2;0.4666666666666667;0.5622222222222222;0.4866666666666667;0.36;1.0;0.48;0.46;0.4666666666666667;0.4066666666666667;0.4123415850736499;0.2933333333333333
ShapeletSim;1.0;0.9055555555555556;1.0;1.0;0.609375;1.0;0.9833333333333332;1.0;1.0;0.9903609538170862;0.9888888888888888
ShapesAll;0.73;0.5816666666666667;0.6466666666666666;0.5966666666666667;0.9327731092436976;0.07;0.7833333333333333;0.7866666666666666;0.5483333333333333;0.4224318720785193;0.0366666666666666
SmallKitchenAppliances;0.712;0.8293333333333334;0.6986666666666667;0.712;0.3709090909090909;0.672;0.672;0.7173333333333334;0.6773333333333333;0.7089328208032477;0.5226666666666666
SmoothSubspace;1.0;0.9666666666666668;0.98;1.0;1.0;0.9866666666666668;1.0;1.0;0.9466666666666668;1.0;1.0
SonyAIBORobotSurface1;0.9284525790349416;0.9201331114808652;0.9550748752079868;0.9584026622296172;1.0;0.9317803660565724;0.9267886855241264;0.9367720465890182;0.9217970049916804;0.8168781272482615;0.8552412645590682
SonyAIBORobotSurface2;0.8740818467995802;0.924449108079748;0.8614900314795383;0.8646379853095488;0.3202020202020202;0.8856243441762854;0.8845750262329486;0.8898216159496327;0.8751311647429171;0.8610704686983983;0.7681007345225603
StarLightCurves;0.9519184069936862;0.9521612433220008;0.9412336085478388;0.9528897523069452;0.967930029154519;0.9706168042739194;0.950097134531326;0.9448761534725596;0.9669742593491988;0.9568409108006456;0.9484116075764935
Strawberry;0.9702702702702702;0.9324324324324323;0.9567567567567568;0.9783783783783784;0.7973333333333333;0.9783783783783784;0.981081081081081;0.981081081081081;0.9837837837837838;0.9848830402391284;0.6945945945945946
SwedishLeaf;0.9376;0.9184;0.8736;0.9248;0.7377049180327869;0.9232;0.9328;0.9376;0.9072;0.908886963273242;0.1904
Symbols;0.8442211055276382;0.9085427135678392;0.8753768844221106;0.7979899497487437;0.3698630136986301;0.785929648241206;0.8904522613065327;0.9015075376884422;0.6673366834170854;0.6045324086274639;0.3386934673366834
SyntheticControl;0.9866666666666668;0.98;0.9833333333333332;0.9933333333333332;0.9415778251599148;0.99;0.9933333333333332;0.9966666666666668;0.98;0.994314190862446;0.8466666666666667
ToeSegmentation1;0.9078947368421052;0.9605263157894736;0.8421052631578947;0.8947368421052632;0.7618421052631579;0.9210526315789472;0.925438596491228;0.9342105263157896;0.9342105263157896;0.8949848174771202;0.4824561403508772
ToeSegmentation2;0.8615384615384616;0.8538461538461538;0.8846153846153846;0.8692307692307693;0.97539975399754;0.9;0.8923076923076924;0.9;0.8615384615384616;0.8629511422295965;0.8615384615384616
Trace;1.0;1.0;0.98;1.0;0.8041237113402062;1.0;1.0;1.0;1.0;1.0;1.0
TwoLeadECG;0.8481123792800702;1.0;0.8858647936786654;0.9025460930640912;0.6103896103896104;0.8753292361720808;0.8305531167690957;0.9095697980684812;0.7287093942054433;0.7847536575355938;0.5030728709394205
TwoPatterns;0.87025;0.8925;0.85425;0.88125;0.934020618556701;0.90775;0.9025;0.9095;0.89675;0.919563861334;0.6215
UMD;0.7916666666666666;0.9930555555555556;0.7638888888888888;0.7986111111111112;0.8367010309278351;0.7430555555555556;0.7916666666666666;0.7916666666666666;0.7569444444444444;0.6276607812400938;0.6388888888888888
UWaveGestureLibraryAll;0.8961474036850922;0.6415410385259631;0.861250697934115;0.8668341708542714;0.9145038167938933;0.9352317141261864;0.9363484087102176;0.929927414852038;0.8749302065884981;0.8146445813785634;0.2481853713009492
UWaveGestureLibraryX;0.7479061976549414;0.6993299832495813;0.7261306532663316;0.7509771077610273;0.934351145038168;0.7696817420435511;0.7699609156895589;0.774427694025684;0.7453936348408711;0.7425506393182556;0.2878280290340592
UWaveGestureLibraryY;0.6404243439419319;0.5388051367950866;0.6197654941373534;0.6527079843662759;0.7666666666666667;0.6714126186487995;0.6613623673925182;0.6627582356225572;0.6404243439419319;0.6277712569075427;0.2766610831937465
UWaveGestureLibraryZ;0.6591289782244556;0.6334450027917364;0.6423785594639866;0.6831379117811278;0.7479338842975206;0.6744835287548855;0.6839754327191513;0.6926298157453936;0.666108319374651;0.6614107961850298;0.2445561139028475
Wafer;0.996268656716418;0.9941596365996106;0.9941596365996106;0.9938351719662556;0.7;0.995295262816353;0.9972420506164827;0.9954574951330304;0.995944192083063;1.0;0.9406229720960416
Wine;0.7037037037037037;0.7222222222222222;0.7777777777777778;0.6851851851851852;0.1875;0.7407407407407407;0.7962962962962963;0.8518518518518519;0.7037037037037037;0.5264891417311253;0.6111111111111112
WordSynonyms;0.5047021943573667;0.329153605015674;0.5047021943573667;0.5109717868338558;0.3035381750465549;0.3369905956112852;0.5407523510971787;0.5815047021943573;0.3793103448275862;0.3531720758943576;0.1379310344827586
Worms;0.6753246753246753;0.6623376623376623;0.6493506493506493;0.6623376623376623;0.2548076923076923;0.7142857142857143;0.7792207792207793;0.7662337662337663;0.6753246753246753;0.6335976900958307;0.5714285714285714
WormsTwoClass;0.7532467532467533;0.7792207792207793;0.7792207792207793;0.7792207792207793;0.9055555555555556;0.8051948051948052;0.7922077922077922;0.8181818181818182;0.7662337662337663;0.7629800042236459;0.7272727272727273
Yoga;0.7956666666666666;0.6786666666666666;0.7866666666666666;0.7646666666666667;0.8780487804878049;0.8206666666666667;0.8336666666666667;0.8333333333333334;0.7883333333333333;0.7688495996997823;0.545
